rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
13,grenier1987,"Grenier, Gilles",,1987,Earnings by language group in Quebec in 1980 and emigration from Quebec between 1976 and 1981,"Canadian Journal of Economics, 20(4), 774-791",article,en,10.2307/135415,,42.0,Consensus/Semantic Scholar 2026-09,0,42.0,33,albouy2008; beland2010; bloom1992; bourhis2017; bousmah2021; chiswick1988; christofides1998; christofides2006; christofides2010; dean2022; floch2012; gagnon2023; geloso2025; grenier2016; grenier2019; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; pendakur2002; pettinicchio2012; shapiro1997; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, gagnon2023 (IDEAS) ; Consensus",inclus,2,2,1,1,6,0.6340264093688938,0.5476190476190477,0.39759036144578314,0.526,"(Grenier, 1987)","Earnings by language group in Quebec in 1980 and emigra... (Grenier, 1987)","Recensement 1981 : modèle à deux équations (émigration, revenu) ; biais de sélection chez les anglophones ; le rendement de l'apprentissage du français est sous-estimé si l'on ignore l'émigration.",11.0
14,chiswick1988,"Chiswick, Barry R.; Miller, Paul W.",,1988,"Earnings in Canada: The roles of immigrant generation, French ethnicity, and language","Research in Population Economics, 6, 183-228 (réédité 2007 dans The Economics of Language, Routledge)",article,en,10.4324/9780203963159-26,,90.0,Consensus/Semantic Scholar 2026-09,0,90.0,21,albouy2008; beland2010; bloom1992; bousmah2021; christofides1998; christofides2006; christofides2010; grenier2016; grenier2019; laczko1995; nadeau2010; nadeau2010b; pendakur2002; shapiro1997; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018,1,1,backward,"bibliographies christofides2010, nadeau2010 ; Consensus",inclus,2,2,1,1,6,0.7603966734317288,0.5595238095238095,0.25301204819277107,0.524,"(Chiswick et Miller, 1988)","Earnings in Canada: The roles of immigrant generation,... (Chiswick et Miller, 1988)","Recensements 1971 et 1981 : effets du statut d'immigrant, de l'ethnicité française et de la compétence linguistique sur les gains ; comparaison décennale.",12.0
15,vaillancourt1980,"Vaillancourt, François",,1980,"Differences in earnings by language groups in Quebec, 1970: An economic analysis","Québec : Centre international de recherche sur le bilinguisme (CIRB), Université Laval, Publication B-90",book,en,,,20.0,Consensus/Semantic Scholar 2026-09,0,20.0,48,albouy2008; beland2010; bloom1992; boulet1981; boulet1983; bousmah2021; boyd1985; chiswick1988; christofides1998; christofides2006; christofides2010; coleman1984; dean2022; fenwick1982; floch2012; fortin2011; gagnon2023; grenier1984; grenier1987; grenier2016; grenier2019; lacroix1981; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; nakhaie1994; pendakur2002; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, christofides2010, gagnon2023 ; Consensus",inclus,2,2,1,1,6,0.5132158805851962,0.4642857142857143,0.5783132530120482,0.519,"(Vaillancourt, 1980)","Differences in earnings by language groups in Quebec, 1... (Vaillancourt, 1980)",Thèse (Queen's) : cadre où la langue est à la fois attribut ethnique et capital humain ; équation de revenu des hommes du Québec en 1970 ; contribution de l'ethnicité à l'écart anglophones/francophones.,13.0
16,nadeau2010,"Nadeau, Serge",,2010,"Another look at the Francophone wage gap in Canada: Public and private sectors, Quebec and outside Quebec","Canadian Public Policy / Analyse de politiques, 36(2), 159-179",article,en,10.3138/cpp.36.2.159,,22.0,"Consensus/Semantic Scholar 2026-09 (fiche Project MUSE, DOI 10.1353/cpp.0.0068)",0,22.0,15,bousmah2021; christofides2010; donovan2024; floch2012; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010b; oqlf2022; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus/WebSearch,inclus,2,2,1,1,6,0.528551015147438,0.8214285714285714,0.18072289156626506,0.51,"(Nadeau, 2010)","Another look at the Francophone wage gap in Canada: Pub... (Nadeau, 2010)","Décomposition Blinder-Oaxaca 1970-2000 : hors Québec, aucun avantage anglophone inexpliqué ; au Québec, prime salariale des francophones dans le secteur public (1970-2000) et dans le privé en 2000, allant au-delà des compétences linguistiques.",14.0
17,pert2023,Provincial Employment Roundtable (PERT),PERT,2023,Census 2021 Update: A brief review of the latest data on employment among Québec's English speakers,Montréal : PERT,report,en,,https://pertquebec.ca/wp-content/uploads/2023/05/Census-Brief-Update.pdf,,non indexé dans Consensus (littérature grise),1,15.0,2,donovan2024; serre2023,1,1,forward,WebSearch,inclus,2,2,1,0,5,0.46737594867222937,0.9761904761904762,0.024096385542168676,0.489,"(PERT, 2023)","Census 2021 Update: A brief review of the latest data o... (PERT, 2023)","Recensement 2021 (première langue officielle parlée) : taux de chômage 10,9 % (anglophones) contre 6,9 % (francophones) ; revenu d'emploi médian 32 000 $ contre 37 200 $ ; taux de pauvreté 10 % contre 5,8 % ; l'écart de chômage a doublé depuis 2016.",15.0
18,vaillancourt2018,"Vaillancourt, François",,2018,Analyse économique des politiques linguistiques au Québec : 40 ans de Loi 101,"CIRANO, Cahier scientifique 2018s-16",report,fr,,https://cirano.qc.ca/files/publications/2018s-16.pdf,,non indexé dans Consensus,1,15.0,7,geloso2025; grenier2019; oqlf2022; vaillancourt2019; vaillancourt2020; vaillancourt2024; vaillancourt2024b,1,1,forward,WebSearch,inclus,2,2,1,1,6,0.46737594867222937,0.9166666666666666,0.08433734939759036,0.489,"(Vaillancourt, 2018)","Analyse économique des politiques linguistiques au Québ... (Vaillancourt, 2018)","Bilan économique de 40 ans de Loi 101 : revenus de travail par attribut linguistique 1970-2015, propriété des entreprises 1961-2003, langue de travail ; coûts et bénéfices des politiques.",16.0
20,boulet1980,"Boulet, Jac-André",,1980,Language and Earnings in Montreal / La langue et le revenu du travail à Montréal,Ottawa : Conseil économique du Canada,book,en/fr,,,,,1,15.0,44,albouy2008; beland2010; bloom1992; boulet1981; boulet1983; bousmah2021; boyd1985; carliner1981; chiswick1988; christofides1998; christofides2006; christofides2010; coleman1984; fenwick1982; fortin2011; gagnon2023; grenier1984; grenier1987; grenier2016; grenier2019; lacroix1981; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; nakhaie1994; pendakur2002; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, nadeau2010, christofides2010 ; connaissance du texte",inclus,2,2,1,1,6,0.46737594867222937,0.4642857142857143,0.5301204819277109,0.487,"(Boulet, 1980)","Language and Earnings in Montreal / La langue et le rev... (Boulet, 1980)",Recensements 1961 et 1971 (RMR de Montréal) : les écarts de revenu de travail par langue se réduisent entre 1961 et 1971 ; rôle de la scolarité et du bilinguisme ; un des rares travaux exploitant 1961.,17.0
21,vaillancourt2020,"Vaillancourt, François",,2020,La rémunération des attributs linguistiques au Québec : résultats pour 2015 et comparaison 1970-2015,"CIRANO, Rapport 2020s-52 ; version anglaise REAL Working Paper 20-8 (Ulster University)",report,fr,,https://cirano.qc.ca/files/publications/2020s-52.pdf,,non indexé dans Consensus,1,15.0,4,donovan2024; oqlf2022; serre2023; vaillancourt2024,1,1,forward,WebSearch,inclus,2,2,1,1,6,0.46737594867222937,0.9404761904761905,0.04819277108433735,0.485,"(Vaillancourt, 2020)","La rémunération des attributs linguistiques au Québec :... (Vaillancourt, 2020)",Recensement 2016 (revenus 2015) : effets nets des attributs linguistiques ; les anglophones bilingues et les francophones bilingues au sommet ; comparaison 1970-2015.,18.0
22,oqlf2022,Office québécois de la langue française,OQLF,2022,Portrait du revenu d'emploi au Québec en 2015 selon les langues utilisées au travail,Québec : OQLF (étude fondée sur le recensement de 2016),report,fr,,https://www.oqlf.gouv.qc.ca/ressources/sociolinguistique/2022/2022_etude_revenu-emploi-selon-langues-utilisees-travail.pdf,,non indexé dans Consensus (littérature grise),1,15.0,2,donovan2024; serre2023,1,3,forward,WebSearch,inclus,2,2,1,0,5,0.46737594867222937,0.9642857142857143,0.024096385542168676,0.485,"(OQLF, 2022)","Portrait du revenu d'emploi au Québec en 2015 selon les... (OQLF, 2022)","Recensement 2016 (revenus 2015) : revenu d'emploi moyen des anglophones 48 793 $ contre 44 029 $ pour les francophones, mais revenu médian inférieur (33 412 $ contre 35 566 $) ; dispersion plus grande chez les anglophones ; effet des langues utilisées au travail.",19.0
24,bourhis2019,"Bourhis, Richard Y.",,2019,Evaluating the impact of Bill 101 on the English-speaking communities of Quebec,"Language Problems and Language Planning, 43(2)",article,en,10.1075/lplp.00042.bou,,12.0,Consensus/Semantic Scholar 2026-09,0,12.0,7,donovan2024; grenier2019; pert2023; serre2023; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.4323741309426475,0.9285714285714286,0.08433734939759036,0.482,"(Bourhis, 2019)","Evaluating the impact of Bill 101 on the English-speaki... (Bourhis, 2019)",Perspective de la minorité anglophone : perte nette interprovinciale de 310 000 anglophones ; ceux qui sont restés sont moins scolarisés et ont un revenu inférieur à celui des francophones (2016) ; rôle des lois linguistiques.,20.0
25,raynauld1966,"Raynauld, André; Marion, Gérald; Béland, Richard",,1966,La répartition des revenus selon les groupes ethniques au Canada (3 vol.),Étude préparée pour la Commission royale d'enquête sur le bilinguisme et le biculturalisme (non publiée),report,fr,,,,non indexé dans Consensus,1,15.0,56,beattie1971; beattie1972; beland2010; blishen1970; boulet1980; boulet1981; boulet1983; boyd1985; breton1978; carliner1981; coleman1984; cuneo1975; darroch1979; dean2022; fenwick1982; fortin2011; geloso2025; herberg1990; lacroix1981; laczko1995; lanphier1974; lautard1990; levine1990; lieberson1970; marion1972; mcroberts1976; mcroberts1979; mcroberts1988; migue1970; nakhaie1994; raynauld1974; raynauld1975; rcbb1969; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024; vaillancourt2024b; veltman1976; veltman1979,1,1,backward,"bibliographies rcbb1969, vaillancourt1980, vaillancourt2013 ; connaissance du texte",inclus,2,2,1,1,6,0.46737594867222937,0.2976190476190476,0.6746987951807228,0.48,"(Raynauld et al., 1966)","La répartition des revenus selon les groupes ethniques... (Raynauld et al., 1966)","Analyse du recensement de 1961 pour la Commission B-B : revenus de travail par origine ethnique et langue, décomposition par scolarité, profession, industrie ; base empirique du Livre III.",21.0
27,vaillancourt2013,"Vaillancourt, François; Tousignant, Julien; Chatel-DeRepentigny, Joëlle; Coutu-Mantha, Simon",,2013,Revenus de travail et rendement des attributs linguistiques au Québec en 2005 et depuis 1970,"Canadian Public Policy / Analyse de politiques, 39(S1), S25-S40",article,fr,10.3138/cpp.39.supplement1.s25,,9.0,Consensus/Semantic Scholar 2026-09,0,9.0,15,bourhis2017; bourhis2019; bousmah2021; donovan2024; gagnon2023; geloso2025; grenier2016; grenier2019; oqlf2022; serre2023; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.38814732369222815,0.8571428571428571,0.18072289156626506,0.475,"(Vaillancourt et al., 2013)","Revenus de travail et rendement des attributs linguisti... (Vaillancourt et al., 2013)",Recensement 2006 (revenus 2005) comparé à 1970-2000 : le bilinguisme augmente le revenu de tous les groupes ; l'avantage historique (1970) des anglophones n'existe plus en 2005.,22.0
29,vaillancourt2017,"Vaillancourt, François; Fontaine, Marc-Antoine",,2017,Les attributs linguistiques et le revenu de travail au Québec : cadre d'analyse et résultats pour 2010 et comparaison 1970-2010,"Dans M. Joanis et C. Montmarquette (dir.), Le Québec économique 6 : le défi des ressources minières, CIRANO / PUL (chapitre)",chapter,fr,,,,non indexé dans Consensus,1,15.0,4,oqlf2022; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,2,backward,"bibliographies vaillancourt2020, vaillancourt2024 (WebSearch)",inclus,2,2,1,1,6,0.46737594867222937,0.9047619047619048,0.04819277108433735,0.473,"(Vaillancourt et Fontaine, 2017)","Les attributs linguistiques et le revenu de travail au... (Vaillancourt et Fontaine, 2017)",Enquête nationale auprès des ménages 2011 (revenus 2010) : effets nets des attributs linguistiques comparés à 1970-2005 ; cadre de Vaillancourt (1980) ajoutant la langue comme troisième forme de capital humain à l'équation de Mincer.,23.0
30,grenier2016,"Grenier, Gilles; Nadeau, Serge",,2016,English as the lingua franca and the economic value of other languages: The case of the language of work in the Montreal labor market,"In M. Gazzola et B.-A. Wickström (dir.), The Economics of Language Policy, Cambridge (MA) : MIT Press, 267-312",chapter,en,,,,non indexé dans Consensus,1,15.0,4,bousmah2021; grenier2019; oqlf2022; vaillancourt2018,1,2,forward,"bibliographies grenier2019, bousmah2021 (connaissance du texte)",inclus,2,2,1,1,6,0.46737594867222937,0.8928571428571429,0.04819277108433735,0.469,"(Grenier et Nadeau, 2016)","English as the lingua franca and the economic value of... (Grenier et Nadeau, 2016)",Recensements 2001-2006 : valeur de l'usage de l'anglais et du français au travail à Montréal par groupe linguistique ; l'anglais comme lingua franca conserve une valeur marchande supérieure malgré la francisation.,24.0
31,dean2022,"Dean, Joshua; Geloso, Vincent",,2022,"The linguistic wage gap in Quebec, 1901 to 1951",Cliometrica,article,en,10.1007/s11698-021-00236-3,,9.0,Consensus/Semantic Scholar 2026-09,0,9.0,4,donovan2024; gagnon2023; geloso2025; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,0,1,5,0.38814732369222815,0.9642857142857143,0.04819277108433735,0.467,"(Dean et Geloso, 2022)","The linguistic wage gap in Quebec, 1901 to 1951 (Dean et Geloso, 2022)",Recensements 1901-1921 (et 1951) : l'écart se réduit modestement au début du XXe siècle puis stagne jusqu'en 1970 ; l'essentiel de la convergence est postérieur à 1970. Situe le point de départ de 1961.,25.0
